HTTrack3.49-2+htsswf+htsjava launched on Wed, 14 Dec 2022 16:20:20 at https://www.aleztravel.az/hotels +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" https://www.aleztravel.az/hotels -O1 "C:\Users\hp\Desktop\aleztravel" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

16:20:50	Error: 	"Not Found" (404) at link https://www.aleztravel.az/fb (from https://www.aleztravel.az/hotels)
16:20:50	Error: 	"Not Found" (404) at link https://www.aleztravel.az/tv (from https://www.aleztravel.az/hotels)
16:20:50	Error: 	"Not Found" (404) at link https://www.aleztravel.az/+994508707808 (from https://www.aleztravel.az/hotels)
16:20:54	Warning: 	Link https://www.aleztravel.az/cdn-cgi/l/email-protection not scanned (follow robots meta tag)
16:21:24	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/hotel/fb (from https://www.aleztravel.az/hotel/doubletree-by-hilton-istanbul-topkapi-hotel-5)
16:21:24	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/hotel/tv (from https://www.aleztravel.az/hotel/doubletree-by-hilton-istanbul-topkapi-hotel-5)
16:21:24	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/hotel/+994508707808 (from https://www.aleztravel.az/hotel/doubletree-by-hilton-istanbul-topkapi-hotel-5)
16:21:26	Error: 	"Not Found" (404) at link https://www.aleztravel.az/img/star-dark.svg (from https://www.aleztravel.az/hotel/doubletree-by-hilton-istanbul-topkapi-hotel-5)
16:21:26	Error: 	"Not Found" (404) at link https://www.aleztravel.az/img/star-active.svg (from https://www.aleztravel.az/hotel/doubletree-by-hilton-istanbul-topkapi-hotel-5)
16:21:26	Error: 	"Not Found" (404) at link https://www.aleztravel.az/front/fonts/lg.eot?n1z373 (from https://www.aleztravel.az/front/css/lightgallery.min.css)
16:21:26	Error: 	"Not Found" (404) at link https://www.aleztravel.az/front/fonts/lg.eot? (from https://www.aleztravel.az/front/css/lightgallery.min.css)
16:21:26	Error: 	"Not Found" (404) at link https://www.aleztravel.az/front/fonts/lg.woff?n1z373 (from https://www.aleztravel.az/front/css/lightgallery.min.css)
16:21:26	Error: 	"Not Found" (404) at link https://www.aleztravel.az/front/fonts/lg.ttf?n1z373 (from https://www.aleztravel.az/front/css/lightgallery.min.css)
16:21:26	Error: 	"Not Found" (404) at link https://www.aleztravel.az/front/fonts/lg.svg?n1z373 (from https://www.aleztravel.az/front/css/lightgallery.min.css)
16:21:26	Error: 	"Not Found" (404) at link https://www.aleztravel.az/front/img/vimeo-play.png (from https://www.aleztravel.az/front/css/lightgallery.min.css)
16:21:26	Error: 	"Not Found" (404) at link https://www.aleztravel.az/front/img/video-play.png (from https://www.aleztravel.az/front/css/lightgallery.min.css)
16:21:26	Error: 	"Not Found" (404) at link https://www.aleztravel.az/front/img/youtube-play.png (from https://www.aleztravel.az/front/css/lightgallery.min.css)
16:21:26	Error: 	"Not Found" (404) at link https://www.aleztravel.az/front/img/loading.gif (from https://www.aleztravel.az/front/css/lightgallery.min.css)
16:21:26	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/cities/fb (from https://www.aleztravel.az/cities/istanbul)
16:21:45	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/cities/tv (from https://www.aleztravel.az/cities/istanbul)
16:21:46	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/cities/+994508707808 (from https://www.aleztravel.az/cities/istanbul)
16:21:52	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/country/fb (from https://www.aleztravel.az/country/azerbaycan)
16:21:52	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/country/tv (from https://www.aleztravel.az/country/azerbaycan)
16:21:52	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/country/+994508707808 (from https://www.aleztravel.az/country/azerbaycan)
16:21:52	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/story/fb (from https://www.aleztravel.az/story/birkart)
16:22:12	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/story/tv (from https://www.aleztravel.az/story/birkart)
16:22:15	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/story/+994508707808 (from https://www.aleztravel.az/story/birkart)
16:22:15	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/blog/fb (from https://www.aleztravel.az/blog/gblog-name)
16:22:16	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/blog/tv (from https://www.aleztravel.az/blog/gblog-name)
16:22:36	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/blog/+994508707808 (from https://www.aleztravel.az/blog/gblog-name)
16:22:39	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/hotel/fb (from https://www.aleztravel.az/hotel/doubletree-by-hilton-istanbul-topkapi-hotel-5)
16:22:40	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/hotel/tv (from https://www.aleztravel.az/hotel/doubletree-by-hilton-istanbul-topkapi-hotel-5)
16:22:40	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/hotel/+994508707808 (from https://www.aleztravel.az/hotel/doubletree-by-hilton-istanbul-topkapi-hotel-5)
16:23:00	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/cities/fb (from https://www.aleztravel.az/cities/istanbul)
16:23:05	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/cities/tv (from https://www.aleztravel.az/cities/istanbul)
16:23:05	Warning: 	Retry after error 500 (Internal Server Error) at link https://www.aleztravel.az/cities/+994508707808 (from https://www.aleztravel.az/cities/istanbul)
